step	x	y	width	height	state	text
0	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 26 | Move to built-in display | Move to virtual display | Disconnect virtual display
1	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 29 | Move to built-in display | Move to virtual display | Disconnect virtual display
2	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 31 | Move to built-in display | Move to virtual display | Disconnect virtual display
3	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 33 | Move to built-in display | Move to virtual display | Disconnect virtual display
4	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 35 | Move to built-in display | Move to virtual display | Disconnect virtual display
5	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 37 | Move to built-in display | Move to virtual display | Disconnect virtual display
6	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 40 | Move to built-in display | Move to virtual display | Disconnect virtual display
7	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 42 | Move to built-in display | Move to virtual display | Disconnect virtual display
8	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 44 | Move to built-in display | Move to virtual display | Disconnect virtual display
9	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 46 | Move to built-in display | Move to virtual display | Disconnect virtual display
10	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 48 | Move to built-in display | Move to virtual display | Disconnect virtual display
11	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 51 | Move to built-in display | Move to virtual display | Disconnect virtual display
12	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 53 | Move to built-in display | Move to virtual display | Disconnect virtual display
13	520.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 55 | Move to built-in display | Move to virtual display | Disconnect virtual display
14	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 57 | Move to built-in display | Move to virtual display | Disconnect virtual display
15	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 59 | Move to built-in display | Move to virtual display | Disconnect virtual display
16	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 61 | Move to built-in display | Move to virtual display | Disconnect virtual display
17	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 64 | Move to built-in display | Move to virtual display | Disconnect virtual display
18	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 66 | Move to built-in display | Move to virtual display | Disconnect virtual display
19	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 68 | Move to built-in display | Move to virtual display | Disconnect virtual display
20	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 70 | Move to built-in display | Move to virtual display | Disconnect virtual display
21	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 72 | Move to built-in display | Move to virtual display | Disconnect virtual display
22	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 74 | Move to built-in display | Move to virtual display | Disconnect virtual display
23	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 77 | Move to built-in display | Move to virtual display | Disconnect virtual display
24	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 79 | Move to built-in display | Move to virtual display | Disconnect virtual display
25	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 81 | Move to built-in display | Move to virtual display | Disconnect virtual display
26	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 83 | Move to built-in display | Move to virtual display | Disconnect virtual display
27	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 85 | Move to built-in display | Move to virtual display | Disconnect virtual display
28	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 88 | Move to built-in display | Move to virtual display | Disconnect virtual display
29	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 90 | Move to built-in display | Move to virtual display | Disconnect virtual display
30	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 92 | Move to built-in display | Move to virtual display | Disconnect virtual display
31	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 94 | Move to built-in display | Move to virtual display | Disconnect virtual display
32	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 96 | Move to built-in display | Move to virtual display | Disconnect virtual display
33	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 98 | Move to built-in display | Move to virtual display | Disconnect virtual display
34	1640.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 101 | Move to built-in display | Move to virtual display | Disconnect virtual display
35	1640.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 103 | Move to built-in display | Move to virtual display | Disconnect virtual display
36	1640.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 103 | Move to built-in display | Move to virtual display | Disconnect virtual display
