step	x	y	width	height	state	text
0	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 202 | Move to built-in display | Move to virtual display | Disconnect virtual display
1	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 205 | Move to built-in display | Move to virtual display | Disconnect virtual display
2	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 207 | Move to built-in display | Move to virtual display | Disconnect virtual display
3	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 209 | Move to built-in display | Move to virtual display | Disconnect virtual display
4	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 211 | Move to built-in display | Move to virtual display | Disconnect virtual display
5	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 214 | Move to built-in display | Move to virtual display | Disconnect virtual display
6	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 216 | Move to built-in display | Move to virtual display | Disconnect virtual display
7	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 218 | Move to built-in display | Move to virtual display | Disconnect virtual display
8	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 220 | Move to built-in display | Move to virtual display | Disconnect virtual display
9	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 222 | Move to built-in display | Move to virtual display | Disconnect virtual display
10	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 224 | Move to built-in display | Move to virtual display | Disconnect virtual display
11	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 226 | Move to built-in display | Move to virtual display | Disconnect virtual display
12	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 228 | Move to built-in display | Move to virtual display | Disconnect virtual display
13	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 231 | Move to built-in display | Move to virtual display | Disconnect virtual display
14	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 233 | Move to built-in display | Move to virtual display | Disconnect virtual display
15	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 235 | Move to built-in display | Move to virtual display | Disconnect virtual display
16	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 237 | Move to built-in display | Move to virtual display | Disconnect virtual display
17	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 239 | Move to built-in display | Move to virtual display | Disconnect virtual display
18	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 241 | Move to built-in display | Move to virtual display | Disconnect virtual display
19	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 244 | Move to built-in display | Move to virtual display | Disconnect virtual display
20	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 246 | Move to built-in display | Move to virtual display | Disconnect virtual display
21	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 248 | Move to built-in display | Move to virtual display | Disconnect virtual display
22	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 250 | Move to built-in display | Move to virtual display | Disconnect virtual display
23	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 252 | Move to built-in display | Move to virtual display | Disconnect virtual display
24	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 254 | Move to built-in display | Move to virtual display | Disconnect virtual display
25	180.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 257 | Move to built-in display | Move to virtual display | Disconnect virtual display
26	180.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 257 | Move to built-in display | Move to virtual display | Disconnect virtual display
27	180.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 257 | Move to built-in display | Move to virtual display | Disconnect virtual display
28	180.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 257 | Move to built-in display | Move to virtual display | Disconnect virtual display
29	180.0	370.0	1200	864	frozen(FuwaCore.PinFreezeReason.manual)	Fuwa QA — virtual second display | Virtual display counter: 257 | Move to built-in display | Move to virtual display | Disconnect virtual display
30	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 269 | Move to built-in display | Move to virtual display | Disconnect virtual display
31	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 271 | Move to built-in display | Move to virtual display | Disconnect virtual display
32	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 273 | Move to built-in display | Move to virtual display | Disconnect virtual display
33	1640.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 275 | Move to built-in display | Move to virtual display | Disconnect virtual display
34	180.0	370.0	600	432	live	Fuwa QA — virtual second display | Virtual display counter: 277 | Move to built-in display | Move to virtual display | Disconnect virtual display
35	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 279 | Move to built-in display | Move to virtual display | Disconnect virtual display
36	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 282 | Move to built-in display | Move to virtual display | Disconnect virtual display
37	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 284 | Move to built-in display | Move to virtual display | Disconnect virtual display
38	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 286 | Move to built-in display | Move to virtual display | Disconnect virtual display
39	180.0	370.0	1200	864	live	Fuwa QA — virtual second display | Virtual display counter: 288 | Move to built-in display | Move to virtual display | Disconnect virtual display
